company_name,company_website,career_page_url,open_position_url,status
Stripe,https://stripe.com,https://stripe.com/careers,https://stripe.com/jobs/listing/account-executive-product-sales-capital/7728365,success
Anthropic,https://www.anthropic.com,https://www.anthropic.com/careers,https://job-boards.greenhouse.io/anthropic/jobs/4980436008,success
Ramp,https://ramp.com,https://ramp.com/careers,,career page found, no job link found
